earnings,persons,kind,u18,ins,med_exp,div,assist,self_emp,unemp,spanish
60000,1,2,0,1040,0,0,0,2,2,2
0,1,2,0,0,980,0,0,2,2,2
0,1,3,0,0,0,0,0,2,2,2
0,1,2,0,0,0,0,0,2,2,2
0,1,2,0,0,0,0,0,2,2,2
0,1,3,0,0,0,0,0,2,2,2
105000,3,3,0,16000,4250,0,0,2,2,2
105000,2,1,0,16000,4250,0,0,2,2,2
42000,2,3,1,7000,300,0,0,2,2,2
0,1,2,0,0,200,0,0,2,2,2
48000,2,3,0,300,300,0,0,2,2,2
0,1,3,0,0,0,0,0,2,2,2
0,1,2,0,0,0,0,0,2,2,2
290000,2,1,0,1000,100,149,0,2,2,2
100000,2,1,0,1000,100,1100,0,2,2,2
19000,2,1,0,2530,500,456,0,1,2,2
51000,1,3,0,1200,0,0,0,2,2,2
47500,1,2,0,3120,8000,0,0,2,1,2
0,1,3,0,0,320,0,0,2,2,2
45000,2,1,0,6000,0,0,0,1,2,1
0,1,2,0,0,0,0,0,2,2,2
39858,2,3,0,2496,0,0,0,2,1,2
81620,3,1,0,7800,0,0,0,2,2,2
0,2,2,1,0,0,0,0,2,2,2
35000,1,3,0,0,0,0,0,2,2,2
7500,8,1,5,400,1000,0,0,2,2,2
67000,1,2,0,84,360,0,0,2,2,2
36400,1,3,0,1000,0,0,0,2,2,2
68000,1,2,0,750,500,0,0,2,2,2
33000,2,3,1,2600,1500,0,0,2,2,2
32000,3,3,1,1200,0,0,0,2,2,2
500,3,3,2,0,0,0,0,1,1,2
99000,4,1,2,6760,0,0,0,2,1,2
104900,4,1,2,4800,150,0,0,1,2,2
52000,1,2,0,0,2000,0,0,2,2,2
23000,2,3,0,80,80,0,0,2,2,2
0,2,2,0,16,300,0,0,2,2,2
0,5,1,1,0,300,0,0,2,2,2
0,2,2,1,0,250,0,0,2,2,2
18000,2,3,1,0,200,0,0,1,2,2
32000,1,2,0,1920,1800,0,0,2,2,2
0,1,3,0,0,0,0,0,2,2,2
0,1,2,0,2700,3000,2500,0,2,2,2
0,1,3,0,2200,3000,0,0,2,2,2
3500,2,3,0,0,150,0,0,2,2,2
19544,3,1,0,2040,1000,0,0,2,1,2
28800,3,2,2,0,0,0,0,2,2,2
33000,1,3,0,0,0,0,0,2,2,2
33500,1,2,0,960,400,0,0,2,2,2
45000,1,2,0,480,500,0,0,2,2,2
0,3,3,2,0,0,0,0,2,2,2
0,1,3,0,0,70,0,0,2,2,2
140000,4,1,2,4800,1300,0,0,2,2,2
0,2,1,0,900,1200,400,0,2,2,2
32000,1,3,0,0,0,1695,0,2,2,2
54000,4,1,2,0,12000,0,0,2,2,2
111000,2,1,0,1660,800,0,0,2,2,2
26000,1,2,0,0,0,0,0,2,2,2
26000,1,2,0,480,500,0,0,2,2,2
152000,4,3,2,4800,3000,0,0,2,1,2
58000,1,2,0,1600,600,0,0,2,2,2
0,2,1,0,696,1098,300,0,2,2,2
0,1,2,0,240,150,5,0,2,2,2
130000,2,1,0,6000,10000,3250,0,2,2,2
52000,1,3,0,1000,500,0,0,2,2,2
70000,1,2,0,1600,400,200,0,2,2,2
4002,2,1,0,0,2000,0,0,1,1,2
0,1,2,0,360,860,0,0,2,2,2
0,2,1,0,1600,100,0,0,2,2,2
70000,2,2,1,0,2500,0,0,1,2,2
80000,1,3,0,0,2500,0,0,2,2,2
136000,2,1,0,1660,800,300,0,2,2,2
105000,4,1,2,6000,11100,0,0,2,2,2
82000,2,1,0,1440,1500,27,0,2,2,2
18000,4,2,3,0,800,0,0,2,1,2
62000,3,1,1,7000,2200,500,0,2,2,2
41000,4,1,2,0,0,0,0,2,1,2
32000,2,1,0,1440,14000,0,0,2,2,2
102000,2,1,0,4700,700,0,0,2,2,2
0,2,1,0,300,1000,0,0,2,2,2
60000,1,3,0,1000,0,0,0,2,2,2
39500,1,2,0,1000,600,0,0,2,2,2
30000,1,2,0,0,4000,0,0,2,2,2
73002,3,1,0,2100,360,0,0,1,1,2
0,2,1,0,696,1640,0,0,2,2,2
0,2,1,0,0,110,0,0,2,2,2
75000,6,1,4,7200,800,0,0,2,2,2
0,2,2,0,0,500,0,0,2,2,2
0,1,2,0,0,0,0,24000,2,2,2
0,1,2,0,0,1000,0,0,2,2,2
62330,2,1,0,4500,1150,0,0,2,2,2
0,2,1,0,0,0,0,0,2,2,2
0,2,1,0,0,3500,0,0,2,2,2
172000,4,1,2,0,0,0,0,1,2,2
70000,2,3,0,3300,3000,0,0,2,1,2
40000,3,2,2,0,0,0,0,2,1,2
30000,1,3,0,0,0,0,0,2,2,2
36000,2,1,0,12204,1200,119,0,2,2,2
58000,1,2,0,0,0,0,0,2,2,2
35000,1,3,0,0,0,0,0,2,2,2
300,1,2,0,1000,0,0,0,2,2,2
40000,1,3,0,2400,1000,0,0,2,2,2
40000,1,2,0,1500,0,0,0,2,2,2
0,1,2,0,0,0,0,0,2,2,2
0,1,2,0,0,0,0,0,2,2,2
0,1,3,0,0,1500,0,0,2,2,2
0,1,2,0,0,0,0,0,2,2,2
61000,3,1,1,1620,1375,0,0,2,2,2
3000,3,3,0,2000,4000,0,0,1,1,2
212000,4,1,2,11000,300,0,0,2,2,2
0,1,2,0,0,0,0,0,2,2,2
6405,1,2,0,0,0,0,0,2,2,2
34000,1,3,0,1000,500,0,0,2,2,2
150000,5,1,2,10100,0,0,0,2,2,2
24000,2,3,0,0,0,0,0,2,2,2
10000,1,2,0,0,0,0,0,1,2,2
145000,2,1,0,8000,0,4026,0,1,2,2
27112,2,1,0,2400,800,0,0,2,1,2
10000,2,1,0,0,0,0,0,2,2,2
20000,4,1,2,1300,100,0,0,2,2,2
0,1,2,0,0,0,0,0,2,2,2
0,1,2,0,0,0,0,0,2,2,2
78000,5,1,3,6000,0,0,0,2,2,2
105000,2,1,0,3000,60,0,0,2,2,2
53200,4,1,2,1350,400,0,0,2,2,2
210000,4,1,2,4200,7000,15,0,2,2,2
0,2,2,0,0,500,0,0,2,2,2
94200,4,1,2,0,16000,0,0,2,2,2
64500,1,2,0,0,670,0,0,2,2,2
44000,1,3,0,2737,1083,7200,0,1,2,1
48000,1,3,0,0,500,0,0,2,2,2
42000,1,3,0,1000,500,0,0,2,2,2
110000,4,1,2,6760,0,0,0,1,2,2
70000,3,1,1,6000,0,0,0,2,2,2
171000,2,1,0,2400,360,0,0,1,2,2
0,6,2,4,0,5,0,0,2,2,2
24000,1,3,0,0,0,0,0,2,2,2
0,2,3,1,0,0,0,0,2,2,2
0,2,1,0,800,1000,8500,0,2,2,2
42000,4,1,2,1500,500,0,0,2,2,2
138000,5,1,3,0,0,0,0,2,1,2
0,1,2,0,0,0,0,0,2,2,2
0,2,1,0,0,0,0,0,2,2,2
0,1,3,0,0,0,0,0,2,2,2
0,2,2,0,0,0,0,0,2,2,2
10440,3,1,0,0,50,0,0,2,2,2
0,5,1,1,0,50,0,0,2,2,2
0,2,3,1,0,0,0,0,2,2,2
22000,2,3,1,640,500,0,0,2,2,2
0,1,2,0,0,0,0,0,2,2,2
67000,3,1,1,2100,1300,0,0,2,1,2
0,2,3,0,0,1000,300,0,2,2,2
50000,1,2,0,0,0,0,0,2,2,2
0,1,3,0,0,350,0,0,2,2,2
5000,3,3,2,0,500,0,0,2,2,2
29000,1,2,0,640,500,0,0,2,1,2
75191,2,1,0,1408,600,0,0,1,1,2
23001,1,2,0,72,200,0,0,1,2,2
1000,1,2,0,0,0,0,0,2,1,2
20000,2,2,1,1600,1250,0,0,2,1,2
60000,1,3,0,600,400,0,0,2,2,2
407000,2,1,0,1408,600,500,0,1,2,2
0,1,3,0,0,0,0,0,2,2,2
18000,2,3,0,0,0,0,0,2,2,2
6000,1,2,0,0,0,0,0,1,2,2
37000,3,3,1,0,4800,0,0,2,2,2
12000,1,3,0,0,700,0,0,2,2,2
0,1,3,0,1350,100,7,0,2,2,2
25000,1,2,0,0,0,0,0,2,2,2
31000,2,3,0,100,250,0,0,2,1,2
130000,4,1,2,7000,2400,2800,0,2,2,2
56000,1,2,0,200,350,10,0,2,2,2
50000,1,2,0,0,35,250,0,2,2,2
10700,2,3,1,0,900,0,0,2,2,2
33000,1,3,0,1300,500,50,0,2,1,2
12800,2,1,0,0,2535,0,0,2,1,1
46000,9,1,7,0,440,0,0,2,2,2
78400,3,1,1,2300,2500,0,0,2,2,2
46000,4,1,2,0,2000,122,0,2,2,2
0,3,3,2,0,150,0,0,2,2,2
22400,3,2,2,0,0,0,0,2,2,2
3600,1,3,0,0,0,0,0,2,2,2
62300,3,1,1,1800,150,0,0,2,2,2
15000,1,2,0,2400,1000,0,0,1,1,2
131000,1,3,0,1500,0,0,0,1,2,2
29000,5,3,2,1200,1250,0,0,2,2,2
0,2,2,1,0,0,0,0,2,2,2
13000,2,3,1,0,0,0,0,2,2,2
80000,2,3,0,500,450,0,0,2,2,2
72009,1,3,0,0,0,0,0,2,2,2
50000,1,2,0,0,4000,0,0,2,2,2
0,2,1,0,0,0,500,0,2,2,2
17700,1,3,0,6600,2000,1000,0,2,1,2
125000,2,1,0,0,30,0,0,2,2,2
55000,2,1,0,2020,4150,0,0,2,2,2
0,1,3,0,0,3600,0,0,2,2,2
39000,1,3,0,300,200,0,0,2,2,2
52681,3,1,1,500,2400,3000,0,1,2,2
24002,3,3,2,0,90,0,0,2,2,1
0,2,1,0,0,400,0,0,2,2,2
0,2,1,0,12000,400,0,0,2,2,2
108408,1,3,0,1200,200,10000,0,2,2,2
0,1,3,0,5050,4000,0,0,2,2,2
225000,2,1,0,2600,250,1,0,1,2,2
35000,1,2,0,0,1700,0,0,2,1,2
0,2,1,0,500,1333,50140,0,2,2,2
0,1,2,0,0,0,0,0,2,2,2
180002,2,1,0,6000,500,800,0,1,2,2
0,2,1,0,0,400,0,0,2,2,2
52300,1,2,0,1600,400,0,0,2,2,2
0,2,1,0,0,400,0,0,2,2,2
10500,1,2,0,0,500,0,0,2,1,2
55000,1,2,0,200,250,0,0,2,2,2
0,1,3,0,0,36,0,0,2,2,2
80000,3,1,1,18000,550,0,0,2,2,2
71000,1,3,0,1152,200,0,0,2,2,2
110000,1,3,0,4800,13000,0,0,2,2,2
60000,5,1,3,0,100,0,0,2,2,2
33501,1,3,0,7000,1000,3500,0,1,2,2
166000,4,1,0,7160,500,0,0,1,2,2
0,1,3,0,240,150,0,0,2,2,2
202000,4,1,2,10160,2000,10,0,2,2,2
48000,2,2,0,6400,10000,200,0,2,2,2
55000,1,3,0,150,200,0,0,2,2,2
63000,1,3,0,150,250,0,0,2,2,2
70000,2,1,0,3139,5000,0,0,2,2,2
291500,4,1,0,7950,2900,0,0,2,2,2
146000,2,1,0,3150,2400,0,0,2,2,2
42400,2,1,0,6000,500,1500,0,2,2,2
0,2,3,0,0,0,0,0,2,2,2
0,1,2,0,0,0,0,0,2,1,2
421500,2,1,0,10160,1000,120,0,1,2,2
60000,3,1,1,7200,800,0,0,1,1,2
165000,4,1,2,15000,6500,500,0,2,2,2
0,2,1,0,5256,36,4000,0,2,2,2
72000,1,3,0,0,0,0,0,1,2,2
44720,2,1,0,0,1200,0,0,2,2,2
118000,4,1,2,600,1000,0,0,2,2,1
180000,2,1,0,5256,36,21,0,2,2,2
100000,1,2,0,0,2500,4000,0,1,2,2
105000,3,1,1,15000,6700,3001,0,2,1,2
0,2,1,0,5256,36,7399,0,2,2,2
0,1,3,0,0,0,0,0,2,2,2
490000,1,2,0,4300,150,0,0,1,2,2
145000,5,1,3,2200,4150,20,0,2,1,2
345000,4,1,2,2200,2900,4200,0,2,2,2
0,1,2,0,3000,3000,0,0,2,2,2
58000,1,2,0,0,200,0,0,2,2,2
50000,1,2,0,0,200,0,0,2,2,2
50000,1,2,0,0,200,0,0,2,2,2
0,2,1,0,0,400,7,0,2,2,2
0,1,3,0,0,1500,0,0,2,2,2
120000,1,3,0,0,200,0,0,2,2,2
30000,2,1,0,0,0,0,0,1,1,2
9000,1,2,0,80,80,0,0,2,2,2
0,1,2,0,0,0,0,0,2,2,2
80002,2,1,0,6000,36,1000,0,2,2,2
76000,3,1,1,0,2000,500,0,2,2,2
58000,1,3,0,600,400,0,0,2,2,2
53000,1,3,0,1909,350,0,0,2,2,2
80002,3,1,0,300,4000,0,0,2,2,2
148000,3,1,1,0,4460,0,0,2,2,2
30000,3,3,1,0,0,0,0,2,2,2
47000,1,2,0,96,14,0,0,2,2,2
20000,1,3,0,0,2000,0,0,2,2,2
112000,2,1,0,300,2600,0,0,2,1,2
45000,2,1,0,2750,200,0,0,2,1,2
50000,1,2,0,96,14,328,0,2,2,2
85000,1,3,0,0,600,20,0,2,2,2
50000,2,1,0,1600,800,5000,0,2,2,2
25700,2,3,0,1200,0,0,0,2,2,2
255000,3,1,0,3300,5600,0,0,2,2,2
170000,3,1,1,300,2660,1550,0,2,2,2
45000,1,3,0,1372,800,0,0,2,2,2
192000,4,1,2,600,1000,500,0,2,2,2
30000,2,3,1,786,600,0,0,2,1,1
0,1,2,0,0,0,0,0,2,2,2
38000,1,3,0,2860,2000,0,0,2,2,2
110000,1,2,0,0,0,500,0,2,2,1
45000,1,3,0,1000,0,0,0,2,2,2
50000,1,2,0,0,30,0,0,2,2,2
40002,2,3,0,0,200,0,1,2,2,2
147000,2,1,0,300,2600,53,0,2,2,2
0,1,2,0,0,0,0,15000,2,2,2
26000,1,3,0,0,64,0,0,2,1,2
52681,1,3,0,0,600,0,0,1,1,2
20000,1,3,0,0,64,0,0,2,2,2
26000,2,2,1,0,400,0,0,2,2,2
0,1,3,0,0,200,0,0,2,2,2
186300,3,1,0,6000,2000,3010,0,2,2,2
128004,4,1,0,6760,1870,4500,0,2,1,2
52300,1,2,0,1200,100,0,0,2,2,2
56000,1,2,0,1000,0,0,0,2,2,2
135000,4,1,2,700,1600,0,0,2,2,2
68000,1,2,0,0,600,0,0,2,2,2
20000,1,2,0,0,0,0,0,2,2,2
254000,4,1,2,7200,8800,0,0,2,2,2
30000,1,2,0,100,150,0,0,2,2,2
35000,1,2,0,100,150,0,0,2,2,2
45000,1,2,0,0,100,0,0,2,2,2
0,2,3,1,0,1200,0,0,2,2,2
36000,5,1,3,300,630,0,0,2,2,2
82000,6,1,3,1500,500,0,0,2,1,2
50000,2,2,1,1500,500,0,0,2,2,2
0,1,3,0,0,0,0,0,2,1,2
0,2,3,0,300,200,0,0,2,2,2
64000,5,1,2,600,550,0,0,2,2,2
0,2,1,0,0,980,46000,0,2,2,2
0,2,1,0,0,980,12,0,2,2,2
0,2,1,0,5574,2690,13584,0,2,2,2
1,2,1,0,1320,800,60,0,1,2,2
0,2,1,0,0,400,0,0,2,2,2
0,2,1,0,2244,1250,0,0,2,2,2
8150,2,1,0,0,13,0,0,2,2,2
117000,2,1,0,7200,700,0,0,2,1,2
153000,2,2,0,5300,40,1,0,1,2,2
52704,6,1,4,3680,2320,0,0,2,1,2
26000,1,2,0,0,0,0,0,2,2,2
0,1,2,0,660,525,0,0,2,2,2
18000,1,2,0,2750,600,0,0,2,1,2
168000,2,1,0,600,300,0,0,2,1,2
4000,1,3,0,0,3000,0,0,2,2,2
42000,3,2,2,7800,1800,0,0,2,2,2
44089,2,3,0,2750,600,0,0,2,2,2
28000,1,2,0,400,0,0,0,2,2,2
0,2,1,0,0,3400,0,0,2,2,2
136000,4,1,2,3380,1400,12000,0,2,2,2
400000,2,1,0,13000,10000,0,0,2,2,1
180000,3,1,1,7000,2200,0,0,2,2,2
0,1,2,0,0,0,0,0,2,2,2
0,1,3,0,0,0,0,0,2,2,2
32000,1,3,0,1800,600,0,0,2,2,2
0,1,3,0,0,0,0,0,2,2,2
0,2,1,0,0,1200,0,0,2,2,2
0,1,2,0,660,525,200,0,2,2,2
67900,1,2,0,2400,200,0,0,1,2,2
36000,3,1,0,2136,1850,0,0,2,2,2
147000,4,1,2,7800,575,12000,0,1,2,2
0,1,3,0,660,525,10,0,2,2,2
320000,2,1,0,7800,2000,790100,0,2,2,2
85000,2,3,0,2500,1500,0,0,2,1,2
76400,1,3,0,2300,1950,0,0,2,2,2
0,2,1,0,0,1000,0,0,2,2,2
59571,2,1,0,1415,1605,0,0,2,2,2
52594,3,1,0,144,1110,0,0,2,2,2
0,1,3,0,60,50,0,0,2,2,2
225000,2,1,0,1995,950,1,0,2,2,2
0,1,3,0,680,5000,40,0,2,2,2
112000,2,1,0,3600,5250,0,0,2,1,2
10000,1,3,0,596,8,0,0,2,1,2
40002,3,3,2,7800,450,0,0,2,2,2
90000,1,2,0,1000,800,0,0,2,2,2
0,2,1,0,0,1200,2000,0,2,2,2
10000,5,3,4,0,0,0,0,2,1,2
0,1,3,0,0,0,0,0,2,2,2
57000,2,2,0,144,1110,1,0,1,1,2
30000,1,3,0,0,0,0,0,2,2,2
90000,2,1,0,1900,4000,0,0,1,2,2
7200,3,1,1,0,0,0,0,2,1,2
12960,1,2,0,0,0,0,0,2,2,2
35100,1,3,0,0,0,0,0,2,2,2
0,1,2,0,0,500,0,0,2,1,2
6000,3,2,2,0,36,0,0,2,1,2
0,1,3,0,0,0,0,0,2,2,2
83662,2,2,0,5256,36,0,0,2,2,2
70000,1,3,0,1508,0,0,0,2,2,2
65000,1,3,0,1900,200,0,0,1,2,2
237000,4,1,2,700,1600,0,0,2,2,2
121000,4,1,0,0,1200,0,0,2,2,2
0,1,3,0,0,100,0,0,2,2,2
25000,1,3,0,1800,600,0,0,2,2,2
188460,3,1,0,1600,50,829,0,2,2,2
465000,3,1,1,0,4460,100,0,2,2,2
175000,2,1,0,2832,1500,30,0,2,2,2
130136,4,1,1,3600,500,0,0,2,2,2
45600,1,2,0,1440,0,0,0,2,2,2
114000,3,1,1,100,0,0,0,2,2,1
0,1,3,0,0,0,0,0,2,2,2
50000,1,2,0,15000,0,0,0,2,2,2
30000,1,3,0,0,300,0,0,2,2,1
0,2,1,0,0,0,0,0,2,2,2
101000,1,2,0,5460,0,0,0,2,2,2
42000,1,3,0,2704,0,0,0,2,1,2
208000,4,1,2,11628,762,0,0,2,2,2
202273,3,1,1,0,1000,1000,0,2,1,2
83200,4,3,2,9381,1300,0,0,2,2,2
36000,1,2,0,0,1300,0,0,2,2,2
3750,3,3,2,1800,350,0,0,2,1,2
50000,1,2,0,0,1300,0,0,2,2,2
102301,4,1,2,9250,6000,61,0,2,2,2
54000,4,1,2,1500,0,0,0,2,2,2
0,1,3,0,0,10,0,0,2,2,2
25400,5,1,2,3756,450,0,0,2,1,2
102000,3,1,1,4800,500,0,0,2,1,2
77400,3,1,1,1800,800,0,0,2,2,2
68000,6,1,4,5400,1000,0,0,2,2,2
82000,5,1,3,6240,2000,0,0,2,2,2
2900,2,1,0,5540,400,0,0,1,1,2
25000,2,1,0,1824,40,0,0,2,1,2
0,1,3,0,9876,168,35,0,2,2,2
0,2,1,0,5424,1800,0,0,2,2,2
0,2,1,0,6000,36,3000,0,2,2,2
0,2,1,0,0,3400,3500,0,2,2,2
0,2,1,0,4044,290,0,0,2,2,2
49000,2,2,1,0,15,0,0,2,1,2
0,1,3,0,0,0,0,0,2,2,2
0,1,3,0,0,0,0,0,2,2,2
20000,1,2,0,1000,150,0,0,2,2,2
120000,5,1,2,3600,2200,2400,0,2,1,2
250000,2,1,0,500,1000,0,0,2,2,2
0,2,1,0,1320,800,1200,0,2,2,2
60000,3,1,0,3000,2500,0,0,2,2,2
75000,1,2,0,5460,0,0,0,2,2,2
1500,1,3,0,2704,0,0,0,2,2,2
0,1,2,0,2400,1000,20000,0,2,2,2
401000,2,1,0,24000,400,2000,0,2,2,2
0,1,2,0,0,150,0,0,2,2,2
200000,4,1,2,0,2400,0,0,2,2,2
501800,2,1,0,4300,2000,8000,0,2,2,2
57274,2,1,0,5200,620,10000,0,2,1,2
35280,3,3,2,0,1500,0,0,2,2,2
90000,2,2,1,0,1000,0,0,2,2,2
141000,4,1,0,5856,1000,0,0,2,1,2
0,1,2,0,6000,600,0,0,2,2,2
233300,8,1,4,1800,1400,0,0,1,2,2
68300,4,1,2,1800,1000,0,0,1,2,2
75000,4,1,2,4550,4000,8000,0,2,2,2
0,2,1,0,3600,800,0,0,2,2,2
0,2,1,0,3600,800,20200,0,2,2,2
148300,7,1,3,7200,8300,7,0,1,2,2
120300,5,1,3,7200,8000,7,0,1,2,2
7000,2,1,0,840,2690,2000,0,2,2,2
0,2,1,0,0,190,0,0,2,2,2
77000,3,3,1,0,300,0,0,2,1,2
209000,4,1,2,7800,1000,0,0,2,2,2
153000,1,2,0,9500,500,0,0,2,2,2
40200,6,1,4,1884,300,100,0,1,1,2
65000,4,1,2,18000,700,0,0,1,2,2
0,2,3,1,0,0,0,0,2,2,2
30000,1,2,0,1372,100,0,0,2,2,2
0,2,1,0,4044,290,0,0,2,2,2
0,1,3,0,0,150,0,0,2,2,2
0,1,2,0,6000,600,0,0,2,2,2
0,1,3,0,0,300,0,0,2,2,2
0,2,2,0,0,0,0,0,2,2,2
123763,4,1,0,1940,1000,0,0,2,2,2
0,1,2,0,0,0,0,0,2,2,2
110000,1,2,0,1581,0,1500,0,2,2,2
9500,2,3,1,4800,50,0,0,2,2,2
0,1,2,0,0,0,0,0,2,2,2
23648,2,1,0,0,2450,6000,0,2,2,2
21000,5,1,2,60,50,0,0,2,2,2
149000,3,1,1,0,4460,0,0,2,2,2
0,2,2,0,0,0,0,0,2,2,2
34000,2,3,1,0,200,0,0,2,1,2
0,1,3,0,0,0,0,0,2,2,2
0,1,2,0,0,0,0,0,2,2,2
30129,1,3,0,144,0,0,0,2,2,2
0,1,3,0,0,400,0,0,2,2,2
0,1,3,0,0,400,0,0,2,2,2
85000,1,2,0,1600,1400,400,0,1,2,2
